管理番号,管轄会社,優先,都道府県名,（採）拠点,求人No.,企業名,形態,募集人数,職種,勤務地,資格,勤務時間,休日,時給/日給,月収目安,月収例内訳,年収目安,シフト,最寄り駅,通勤手段,交通費,寮費,寮形態,年齢,性別,TT（50057-01ダイハツ九州以外和彫り不可）,色弱,カップル,外国籍,サイズ制限,案件備考,紹介料,特約事項（定着）,備考（紹介料）,面接〆切,赴任日,入社日,選考にかかる日数,最終紹介日⇒入社日,勤務地市町村
os303,OS,,新潟,(採)さいたま,11935-01,リケンキャステック,派遣,0名,金属製品の製造,新潟県柏崎市北斗町4番28号,"【必須資格】 ・特になし 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間( 1,350円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室）",①08:00～16:55　休憩65分,土日,"1,350円/時",23万円程度,勤務/20日　残業/10H 深夜/0H 休出/2H,276万円程度,日勤,東柏崎駅,車 徒歩（片道20分）,上限3万円迄/月,無料,個室寮,40代前半迄,男性のみ,(完全に長袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,4L迄 ※5L以上は応相談,業務内容：①金型の切削作業・組付け（電動ドライバー等工具を使用します） ②ハンドリフトを使用した製品の梱包作業 ③NC旋盤マシンオペレーター、顕微鏡検査 ④金属製品の梱包と将来的には工程管理（進捗確認/データ入力/メール対応/顧客対応）を任される工程になります。  採用したい方：コミュニケーション問題ない方 体力面に抵抗のない方 長期就業可能な方 交替管理→エクセルやワード等のPCスキル必須,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,新潟県 柏崎市
os304,OS,,新潟,(採)さいたま,11072-01,三條機械製作所,派遣,0名,製造職、技術職,新潟県三条市猪?場新?1300番地,"【必須資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,400円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",①08:00～16:40　休憩55分 ②16:30～01:10　休憩55分,土日,"1,400円/時",27万円程度,勤務/20日　残業/20H 深夜/25H 休出/7.75H,324万円程度,2交替,東光寺駅,車,上限3万円迄/月,-,寮対応無,50歳迄,男性のみ,(完全に長袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,4L迄,・現在、通勤者のみの募集 ・送迎がないため、車持ち限定 ・主に自動車エンジン部品の目視検査業務。基本的には、立ち仕事。,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,新潟県 三条市
os305,OS,,新潟,(採)さいたま,3252-01 3252-03 3252-04 3252-07,日軽新潟,派遣,0名,輸送機器部品(荷台コンテナの押出し/呷り部品) 輸送機器部品(アルミニウム製品)の加?及び検査業務,新潟県新潟市北区太郎代1572-19,"【必須資格】 ・特になし 【契約期間】 ・6ヶ月更新 【試用期間】 ・2週間( 1,130円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",2交替 ①07:55～16:45　休憩60分 ②23:20～08:10　休憩60分  3交替 ①07:55～16:45　休憩60分 ②14:45～23:35　休憩60分 ③23:20～08:10　休憩60分,土日,"1,130円/時",22万円程度,勤務/21日　残業/10H 深夜/45H 休出/8H,264万円程度,2交替 3交替,??駅,車,上限3万円迄/月,無料,個室寮,45歳迄,男性のみ,応相談 ※長袖で隠れる範囲,不可,不可,不可,4L迄,・送迎がないため、車持ち限定 ・年中長袖を着用 ・重量物の取扱いがあるため、体力面必要,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,新潟県 新潟市
os306,OS,,新潟,(採)さいたま,5046-01 5046-02,エヌエスアドバンテック,派遣,0名,?動?及びモータバイク?計器の製造,新潟県?岡市東??2-4-2,"【必須資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,300円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:10～17:10　休憩60分 ②16:00～01:00　休憩60分 ③00:00～09:00　休憩60分,土日,"1,300円/時",25万円程度,勤務/20日　残業/10H 深夜/40H 休出/8H,300万円程度,3交替 （日勤・2交替もございますので、ご相談ください）,押切駅,車,上限3万円迄/月,-,寮対応無,59歳迄,男性のみ,不可,不可,不可,不可,4L迄,・送迎がないため、車持ち限定 ・重量物の取扱いあるため、体力面必要,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,新潟県 ?岡市
os307,OS,,新潟,(採)さいたま,3239-07,,アルプスアルパイン長岡,派遣,10名,電子部品(ｽﾏｰﾄﾌｫﾝ/ｾﾝｻｰ等)製造に伴う機械OP、検査業務 外観検査(顕微鏡使用)データ入力有（簡単に入力できる位のスキルでOK）,新潟県長岡市東高見1-3-5,"【必須資格】 ・特になし 【契約期間】 ・1ヶ月更新 【試用期間】 ・2週間( 1,300円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",①08:20～17:25　休憩65分 ②20:30～05:35　休憩65分,4勤2休,"1,300円/時",25万円程度,勤務/20日 残業/20h 深夜/49.2h 休出/0h,300万円程度,2交替,押切駅,車 バイク 自転車 徒歩,上限3万円迄/月,無料,個室寮,20歳～49歳迄（経験者53歳迄）,男女可,不可,不可,不可,不可,4L迄 ※5L以上は応相談,・送迎あり（バスorタクシー) ・手の震えある方NG ・立ち仕事がメイン ・クリーンルーム内での作業になります。 ・PC入力ありますので、PC操作全く行えない方は難しい。 ・マシンオペレーターや顕微鏡検査が基本的な業務になりますので、手の震えや顕微鏡で寄ってしまう方は難しい。,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,10月30日,11月5日,11月14日,2～3日程度,不明
os308,OS,,新潟,(採)さいたま,12386-01,マフテック上越,派遣,3名,結晶質アルミナ繊維の製造・加工,新潟県上越市福田町1番地,"【必須資格】 ・特になし 【契約期間】 ・6ヶ月更新 【試用期間】 ・2週間( 1,500円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",①08: 25 ～16:30   休憩 60分 ②16: 25～00:30　休憩 60分 ③00: 25～08 : 30  休憩 60分,4組3交替（4勤1休ないし4勤2休）,"1,500円/時",20万円程度,勤務/20日　残業/5H 深夜/35H 休出/0H,240万円程度,2交替,黒井駅,車 バイク,上限3万円迄/月,-,寮対応無,50歳迄（46歳～50歳迄は製造経験必須）,男性のみ,(完全に長袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,4L迄,・結晶質アルミナ繊維の製造・加工 ・自動機ラインの上流部から原料を投入しラインの上・中・下流部での機械オペレータ ・製品の払い出し及び検査・梱包,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,新潟県 上越市
os309,OS,,新潟,(採)さいたま,12425-01,,太平洋精機,派遣,3名,工作機械向け部品製造,新潟県上越市牧区山口420番地　牧工業団地,"【必須資格】 ・フォークリフトあれば尚良(なくても紹介可能) 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間( 1,230円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①08:00～17:00　休憩60分 ②19:00～04:00　休憩60分,土日,"1,230円/時",21万円程度,勤務/20日　残業/10H 深夜/40H 休出/0H,260万円程度,2交替,上越妙高駅,車,上限3万円迄/月,-,寮対応無,未経験46歳迄（経験あり47～50歳迄）,男性のみ,(完全に長袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,可（自動車運転免許所有者）,不可,不可,4L迄,・部品を機械にセットし、旋盤の機械加工を行っていただきます ・部材の脱着の際に10kg～20kg程度の重量物を持つ作業が付随します ・プレス加工:マシンオペレーター ・NC旋盤/MC旋盤:フォークリフト,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,不明
os310,OS,,新潟,(採)さいたま,841917,タワーパートナーズ　セミコンダクター新潟,派遣,3名,電子部品の製造、検査,新潟県妙高市栗原4-5-1,【必須資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・なし 【就業場所における受動喫煙防止措置】 ・屋内禁煙（一部屋外喫煙場所あり）,①08:30～20:30　休憩90分 ②20:30～08:30　休憩90分,3勤3休2交替 シフト制　※365日稼働工場,"1,300円/時",26万円程度,勤務/15.2日 残業/0h 深夜/52.25h 休出/21.5h,350万円程度,2交替,北新井駅,車 自転車 徒歩 ※冬期間は自転車不可,上限3万円迄/月,無料,個室寮,未経験49歳迄(経験有50～56歳迄),男性のみ,不可,不可,可,不可,4L迄,・半導体製造における機械オペレーターおよび検査業務,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約3日～10日,随時,随時問い合わせ,新潟県 妙高市
os311,OS,,新潟,(採)さいたま,1086599,株式会社オーエム製作所 長岡工場 ,派遣,3名,機械設計、開発設計、電気設計、製造技術,新潟県長岡市北園町2-1,"【必須資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間(1,500円/時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外喫煙可）",①08:00～16:45　休憩45分　,土日 ※祝日のある週は土曜出勤の場合あり,"1,500円/時",30万円程度,勤務/21日 残業/20h 深夜/0h 休出/8h,360万円程度,日勤,-,車 自転車 徒歩 ※冬期間は自転車不可,上限3万円迄/月,-,寮対応無,未経験49歳迄(経験有50～55歳迄),男性のみ,不可,不可,不可,不可,4L迄,・中大型立旋盤など工作機械の組み立て・組み付け・金属加工,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約3日～10日,随時,随時問い合わせ,新潟県 長岡市
os312,OS,,新潟,(採)さいたま,11226-01,YKKAP株式会社,派遣,0名,アルミ建材・ガラスサッシ加工業,新潟県柏崎市西山町坂田４１８８,"【必須資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間(1,450円/時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外喫煙可）",①08:20～17:00　休憩60分 ②16:20～01:00　休憩60分 ③00:20～09:00　休憩60分 ④16:40～01:20　休憩60分,5勤2休（シフト制）,"1,450円/時",27万円程度,勤務/20日 残業/20h 深夜/41h 休出/0h,330万円程度,３交替※状況により2交替,-,車 ,上限3万円迄/月,無料,個室寮,未経験50歳迄(経験有かつ腰痛なければ51～55歳迄),男女可,不可,不可,不可,不可,4L迄,アルミサッシ組立・・ガラスに縁、金具を付け梱包する作業です。 ①機械操作にて切断工程 ②部品仕分け、取り付け ③ラッピング梱包、運搬　※25㎏くらいの重量の物もある。 上記のどこかの工程に入り、いずれはどこも出来るようにする。  ガラスの成形・・・今主流の2枚のガラスを合わせて2重ガラスにする作業です。 ①機械にてカット作業 ②合わせてシーリングを行う ③バリ取りを行う ④出荷口に出す 上記のどこかの工程に入ってからいずれはどこでも出来るようにする。 ※重いものは二人作業で運ぶ  重い物を持つと言うイメージではなく、常に10～15㎏前後の商品を扱っている感覚でいてください。,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,随時,2～3日程度,随時問い合わせ,新潟県 柏崎市
os313,OS,,茨城,(採)池袋,20023-02,エヌ・イー ケムキャット,派遣,5名,自動車部品の検査・梱包,茨城県坂東市幸神平25-3,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,750円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外喫煙場所あり）",　①08:00～16:30　休憩 60分 ②16:00～00:30    休憩 60分 ③00:00～08:30   休憩 60分,3直3交代※週交代 （3勤→2勤→1勤） または、4直3交代（3勤→2日休み→2勤→2日休み→1勤→1日休み→3勤）,"1,750円/時",28万円程度,勤務/20日 残業/20h深夜/30h 休出/1h,336万円程度,3交替,中妻駅,車 バイク 自転車 公共交通機関,上限3万円迄/月,無料,個室寮,45歳まで（未経験は39歳まで）,男性のみ,不可,応相談,不可,応相談（N2レベル）,3L,,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,前週火曜日(調整可),OSでの面接～入社まで 約10日～15日,2～3日程度,随時問い合わせ,茨城県 坂東市
